L,arrival_ms,beat,ctx,done_ms,inject_offset_ms,latency_ms,miss,rel_to_injection_ms,sid
6144,16320.0,34,8562,16376.14,5,56.14,0,1435.0,0
6144,16800.0,35,8572,16840.3,5,40.3,0,1915.0,0
6144,17280.0,36,8584,17336.18,5,56.18,0,2395.0,0
6144,17760.0,37,8599,17840.01,5,80.01,0,2875.0,0
6144,13920.0,29,2366,13965.88,120,45.88,0,-1080.0,0
6144,14400.0,30,2375,14425.41,120,25.41,0,-600.0,0
6144,14880.0,31,2384,14905.42,120,25.42,0,-120.0,0
6144,15360.0,32,8539,15556.54,120,196.54,0,360.0,0
6144,15840.0,33,8550,15888.19,120,48.19,0,840.0,0
6144,16320.0,34,8562,16376.14,120,56.14,0,1320.0,0
6144,16800.0,35,8572,16840.3,120,40.3,0,1800.0,0
6144,17280.0,36,8584,17336.18,120,56.18,0,2280.0,0
6144,17760.0,37,8599,17840.01,120,80.01,0,2760.0,0
6144,13920.0,29,2366,13965.88,240,45.88,0,-1200.0,0
6144,14400.0,30,2375,14425.41,240,25.41,0,-720.0,0
6144,14880.0,31,2384,14905.42,240,25.42,0,-240.0,0
6144,15360.0,32,8539,15676.54,240,316.54,0,240.0,0
6144,15840.0,33,8550,15888.19,240,48.19,0,720.0,0
6144,16320.0,34,8562,16376.14,240,56.14,0,1200.0,0
6144,16800.0,35,8572,16840.3,240,40.3,0,1680.0,0
6144,17280.0,36,8584,17336.18,240,56.18,0,2160.0,0
6144,17760.0,37,8599,17840.01,240,80.01,0,2640.0,0
6144,13920.0,29,2366,13965.88,360,45.88,0,-1320.0,0
6144,14400.0,30,2375,14425.41,360,25.41,0,-840.0,0
6144,14880.0,31,2384,14905.42,360,25.42,0,-360.0,0
6144,15360.0,32,8539,15796.54,360,436.54,0,120.0,0
6144,15840.0,33,8550,15888.19,360,48.19,0,600.0,0
6144,16320.0,34,8562,16376.14,360,56.14,0,1080.0,0
6144,16800.0,35,8572,16840.3,360,40.3,0,1560.0,0
6144,17280.0,36,8584,17336.18,360,56.18,0,2040.0,0
6144,17760.0,37,8599,17840.01,360,80.01,0,2520.0,0
6144,13920.0,29,2366,13965.88,470,45.88,0,-1430.0,0
6144,14400.0,30,2375,14425.41,470,25.41,0,-950.0,0
6144,14880.0,31,2384,14905.42,470,25.42,0,-470.0,0
6144,15360.0,32,8549,15911.82,470,551.82,1,10.0,0
6144,15840.0,33,8550,15911.82,470,71.82,0,490.0,0
6144,16320.0,34,8562,16376.14,470,56.14,0,970.0,0
6144,16800.0,35,8572,16840.3,470,40.3,0,1450.0,0
6144,17280.0,36,8584,17336.18,470,56.18,0,1930.0,0
6144,17760.0,37,8599,17840.01,470,80.01,0,2410.0,0
7168,13920.0,29,2366,13965.88,5,45.88,0,-965.0,0
7168,14400.0,30,2375,14425.41,5,25.41,0,-485.0,0
7168,14880.0,31,2384,14905.42,5,25.42,0,-5.0,0
7168,15360.0,32,9563,15543.77,5,183.77,0,475.0,0
